===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,MAcrossover,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
311,TSLA,311,2017-09-06 23:59:59.999989,69.9,70.2,68.31,68.91,20457000.0,0.0,68.905998,MAcrossover,311,736578.9999999999,Broker,311,10012.45,10012.45,BuySell,311,,,Trades - Net Profit/Loss,311,,
312,TSLA,312,2017-09-07 23:59:59.999989,69.2,70.5,68.69,70.12,21196000.0,0.0,70.122002,MAcrossover,312,736579.9999999999,Broker,312,10012.45,10012.45,BuySell,312,,,Trades - Net Profit/Loss,312,,
313,TSLA,313,2017-09-08 23:59:59.999989,69.8,69.96,68.46,68.68,16317500.0,0.0,68.68,MAcrossover,313,736580.9999999999,Broker,313,10012.45,10012.45,BuySell,313,,,Trades - Net Profit/Loss,313,,
314,TSLA,314,2017-09-11 23:59:59.999989,70.27,72.74,70.0,72.74,38335500.0,0.0,72.737999,MAcrossover,314,736583.9999999999,Broker,314,10012.45,10012.45,BuySell,314,,,Trades - Net Profit/Loss,314,,
315,TSLA,315,2017-09-12 23:59:59.999989,72.9,73.75,72.08,72.55,29864500.0,0.0,72.550003,MAcrossover,315,736584.9999999999,Broker,315,10012.45,10012.45,BuySell,315,,,Trades - Net Profit/Loss,315,,
316,TSLA,316,2017-09-13 23:59:59.999989,72.76,73.61,71.92,73.25,20926000.0,0.0,73.246002,MAcrossover,316,736585.9999999999,Broker,316,10012.45,10012.45,BuySell,316,,,Trades - Net Profit/Loss,316,,
317,TSLA,317,2017-09-14 23:59:59.999989,72.87,75.59,72.53,75.53,36012500.0,0.0,75.528,MAcrossover,317,736586.9999999999,Broker,317,10012.45,10012.45,BuySell,317,,,Trades - Net Profit/Loss,317,,
318,TSLA,318,2017-09-15 23:59:59.999989,74.9,76.0,74.54,75.96,27102500.0,0.0,75.961998,MAcrossover,318,736587.9999999999,Broker,318,10012.45,10012.45,BuySell,318,,,Trades - Net Profit/Loss,318,,
319,TSLA,319,2017-09-18 23:59:59.999989,76.05,77.92,75.54,77.0,35940000.0,0.0,77.0,MAcrossover,319,736590.9999999999,Broker,319,10012.45,10012.45,BuySell,319,,,Trades - Net Profit/Loss,319,,
320,TSLA,320,2017-09-19 23:59:59.999989,76.0,76.48,74.71,75.02,32259500.0,0.0,75.019997,MAcrossover,320,736591.9999999999,Broker,320,10012.45,10012.45,BuySell,320,,,Trades - Net Profit/Loss,320,,
