===============================================================================
Id,TSLA_data,len,datetime,open,high,low,close,volume,openinterest,GoldCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
6153,TSLA_data,6153,2021-06-01 11:50:00,625.165,625.4499,624.95,625.1245,21286.0,21286.0,GoldCross,6153,737942.4930555555,Broker,6153,10000.0,10000.0,BuySell,6153,,,Trades - Net Profit/Loss,6153,,
6154,TSLA_data,6154,2021-06-01 11:49:00,625.1,625.22,624.89,625.21,16647.0,16647.0,GoldCross,6154,737942.4923611111,Broker,6154,10000.0,10000.0,BuySell,6154,,,Trades - Net Profit/Loss,6154,,
6155,TSLA_data,6155,2021-06-01 11:48:00,624.88,625.2599,624.66,625.0,26717.0,26717.0,GoldCross,6155,737942.4916666667,Broker,6155,10000.0,10000.0,BuySell,6155,,,Trades - Net Profit/Loss,6155,,
6156,TSLA_data,6156,2021-06-01 11:47:00,625.59,625.71,624.7,624.89,48245.0,48245.0,GoldCross,6156,737942.4909722222,Broker,6156,10000.0,10000.0,BuySell,6156,,,Trades - Net Profit/Loss,6156,,
6157,TSLA_data,6157,2021-06-01 11:46:00,625.77,626.07,625.475,625.51,29036.0,29036.0,GoldCross,6157,737942.4902777778,Broker,6157,10000.0,10000.0,BuySell,6157,,,Trades - Net Profit/Loss,6157,,
6158,TSLA_data,6158,2021-06-01 11:45:00,626.085,626.1,625.66,625.75,25416.0,25416.0,GoldCross,6158,737942.4895833334,Broker,6158,10000.0,10000.0,BuySell,6158,,,Trades - Net Profit/Loss,6158,,
6159,TSLA_data,6159,2021-06-01 11:44:00,625.61,626.5,625.25,626.1863,52107.0,52107.0,GoldCross,6159,737942.4888888889,Broker,6159,10000.0,10000.0,BuySell,6159,,,Trades - Net Profit/Loss,6159,,
6160,TSLA_data,6160,2021-06-01 11:43:00,625.79,625.83,625.1107,625.52,25203.0,25203.0,GoldCross,6160,737942.4881944444,Broker,6160,10000.0,10000.0,BuySell,6160,,,Trades - Net Profit/Loss,6160,,
6161,TSLA_data,6161,2021-06-01 11:42:00,625.6,625.86,625.54,625.7299,22703.0,22703.0,GoldCross,6161,737942.4875,Broker,6161,10000.0,10000.0,BuySell,6161,,,Trades - Net Profit/Loss,6161,,
6162,TSLA_data,6162,2021-06-01 11:41:00,625.94,626.0,625.2612,625.4408,53701.0,53701.0,GoldCross,6162,737942.4868055555,Broker,6162,10000.0,10000.0,BuySell,6162,,,Trades - Net Profit/Loss,6162,,
6163,TSLA_data,6163,2021-06-01 11:40:00,625.88,626.25,625.64,626.0,26878.0,26878.0,GoldCross,6163,737942.4861111111,Broker,6163,10000.0,10000.0,BuySell,6163,,,Trades - Net Profit/Loss,6163,,
6164,TSLA_data,6164,2021-06-01 11:39:00,626.0,626.1,625.62,625.8368,34246.0,34246.0,GoldCross,6164,737942.4854166667,Broker,6164,10000.0,10000.0,BuySell,6164,,,Trades - Net Profit/Loss,6164,,
6165,TSLA_data,6165,2021-06-01 11:38:00,625.71,626.52,625.71,626.03,80627.0,80627.0,GoldCross,6165,737942.4847222222,Broker,6165,10000.0,10000.0,BuySell,6165,,,Trades - Net Profit/Loss,6165,,
6166,TSLA_data,6166,2021-06-01 11:37:00,624.9827,625.75,624.841,625.7467,68707.0,68707.0,GoldCross,6166,737942.4840277778,Broker,6166,10000.0,10000.0,BuySell,6166,,,Trades - Net Profit/Loss,6166,,
6167,TSLA_data,6167,2021-06-01 11:36:00,624.44,625.0394,624.31,624.9149,31185.0,31185.0,GoldCross,6167,737942.4833333333,Broker,6167,10000.0,10000.0,BuySell,6167,,,Trades - Net Profit/Loss,6167,,
6168,TSLA_data,6168,2021-06-01 11:35:00,623.92,624.5,623.92,624.45,23478.0,23478.0,GoldCross,6168,737942.4826388889,Broker,6168,10000.0,10000.0,BuySell,6168,,,Trades - Net Profit/Loss,6168,,
6169,TSLA_data,6169,2021-06-01 11:34:00,624.22,624.22,623.75,623.9426,25512.0,25512.0,GoldCross,6169,737942.4819444445,Broker,6169,10000.0,10000.0,BuySell,6169,,,Trades - Net Profit/Loss,6169,,
6170,TSLA_data,6170,2021-06-01 11:33:00,624.408,624.53,623.76,624.245,29303.0,29303.0,GoldCross,6170,737942.48125,Broker,6170,10000.0,10000.0,BuySell,6170,,,Trades - Net Profit/Loss,6170,,
6171,TSLA_data,6171,2021-06-01 11:32:00,624.49,624.5574,624.0,624.3401,17510.0,17510.0,GoldCross,6171,737942.4805555556,Broker,6171,10000.0,10000.0,BuySell,6171,,,Trades - Net Profit/Loss,6171,,
6172,TSLA_data,6172,2021-06-01 11:31:00,624.3113,624.5787,624.05,624.41,20012.0,20012.0,GoldCross,6172,737942.4798611111,Broker,6172,10000.0,10000.0,BuySell,6172,,,Trades - Net Profit/Loss,6172,,
6173,TSLA_data,6173,2021-06-01 11:30:00,623.99,624.5999,623.99,624.4148,44891.0,44891.0,GoldCross,6173,737942.4791666666,Broker,6173,10000.0,10000.0,BuySell,6173,,,Trades - Net Profit/Loss,6173,,
